Resumed from evaluations\scorer_v7_kaggle.npz (gen=105, wr=0.433)
Kaggle ES training
Pool: 15 opponents | Eval set: 15
minutes=420.0 workers=7 pairs=4 episode_steps=220 4p_ratio=0.7
resume_source=best rollback_on_bad_eval=True
baseline WR=33% 4p=9/37  2p=6/8 (335.4s)
gen  236 | avg_r=+0.562 | |p|=2.66 | gen_t=84.2s
gen  237 | avg_r=+0.438 | |p|=2.68 | gen_t=162.3s
gen  238 | avg_r=+0.312 | |p|=2.70 | gen_t=124.0s
gen  239 | avg_r=+0.312 | |p|=2.71 | gen_t=84.8s
gen  240 | avg_r=+0.562 | |p|=2.72 | gen_t=110.2s
eval WR=27% 4p=7/37  2p=5/8 (353.2s) rollback sigma_scale=0.25
gen  241 | avg_r=+0.250 | |p|=2.63 | gen_t=105.9s
gen  242 | avg_r=+0.500 | |p|=2.64 | gen_t=96.2s
gen  243 | avg_r=+0.250 | |p|=2.64 | gen_t=106.9s
gen  244 | avg_r=+0.250 | |p|=2.66 | gen_t=82.5s
gen  245 | avg_r=+0.375 | |p|=2.69 | gen_t=132.2s
gen  246 | avg_r=+0.312 | |p|=2.72 | gen_t=106.4s
gen  247 | avg_r=+0.188 | |p|=2.75 | gen_t=132.7s
gen  248 | avg_r=+0.375 | |p|=2.79 | gen_t=134.7s
gen  249 | avg_r=+0.500 | |p|=2.82 | gen_t=92.4s
gen  250 | avg_r=+0.375 | |p|=2.85 | gen_t=104.9s
eval WR=47% 4p=15/37  2p=6/8 (275.0s) rollback sigma_scale=0.25
gen  251 | avg_r=+0.312 | |p|=2.61 | gen_t=128.2s
gen  252 | avg_r=+0.250 | |p|=2.60 | gen_t=144.1s
gen  253 | avg_r=+0.312 | |p|=2.58 | gen_t=118.0s
gen  254 | avg_r=+0.375 | |p|=2.56 | gen_t=112.6s
gen  255 | avg_r=+0.375 | |p|=2.56 | gen_t=116.0s
gen  256 | avg_r=+0.188 | |p|=2.56 | gen_t=162.8s
gen  257 | avg_r=+0.438 | |p|=2.57 | gen_t=91.9s
gen  258 | avg_r=+0.375 | |p|=2.58 | gen_t=165.1s
gen  259 | avg_r=+0.625 | |p|=2.58 | gen_t=102.3s
gen  260 | avg_r=+0.375 | |p|=2.60 | gen_t=92.5s
eval WR=36% 4p=11/37  2p=5/8 (308.9s) rollback sigma_scale=0.25
gen  261 | avg_r=+0.312 | |p|=2.61 | gen_t=128.9s
gen  262 | avg_r=+0.438 | |p|=2.60 | gen_t=136.2s
gen  263 | avg_r=+0.688 | |p|=2.59 | gen_t=101.5s
gen  264 | avg_r=+0.562 | |p|=2.60 | gen_t=66.1s
gen  265 | avg_r=+0.688 | |p|=2.60 | gen_t=115.6s
gen  266 | avg_r=+0.312 | |p|=2.60 | gen_t=90.5s
gen  267 | avg_r=+0.312 | |p|=2.59 | gen_t=99.8s
gen  268 | avg_r=+0.500 | |p|=2.58 | gen_t=106.0s
gen  269 | avg_r=+0.625 | |p|=2.56 | gen_t=131.1s
gen  270 | avg_r=+0.312 | |p|=2.54 | gen_t=134.0s
eval WR=33% 4p=11/37  2p=4/8 (330.8s) rollback sigma_scale=0.25
gen  271 | avg_r=+0.375 | |p|=2.62 | gen_t=140.6s
gen  272 | avg_r=+0.312 | |p|=2.62 | gen_t=124.4s
gen  273 | avg_r=+0.438 | |p|=2.64 | gen_t=139.0s
final WR=33% 4p=10/37  2p=5/8 (337.7s)
Done. 273 generations in 25560.9s
Best WR: 53%
